City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Kahului,20.8947,-156.47,71.6,83,90,11.5,US,1615695563
Selenginsk,52.0064,106.8647,17.6,62,90,20.13,RU,1615695839
Balaipungut,1.05,101.2833,84.2,65,40,6.91,ID,1615695839
Dwārka,22.2394,68.9678,81.63,49,0,14.12,IN,1615695841
Maku,39.2911,44.4521,27.25,68,100,3.0,IR,1615695841
Puerto Nariño,-3.7703,-70.3831,77.0,100,75,1.86,CO,1615695841
Provideniya,64.3833,-173.3,18.82,94,100,19.75,RU,1615695842
Poyarkovo,49.6,128.6833,41.72,83,0,7.4,RU,1615695842
Ketchikan,55.3422,-131.6461,32.0,93,90,3.44,US,1615695843
Touros,-5.1989,-35.4608,75.2,83,20,3.44,BR,1615695843
Alofi,-19.0595,-169.9187,82.4,69,98,5.75,NU,1615695844
Saint-Philippe,-21.3585,55.7679,80.6,78,90,16.11,RE,1615695844
Porto-Novo,6.4965,2.6036,78.51,82,100,3.02,BJ,1615695621
Challapata,-18.9,-66.7667,48.56,68,91,8.32,BO,1615695844
Moussoro,13.6408,16.4901,80.55,13,47,10.13,TD,1615695845
Quatre Cocos,-20.2078,57.7625,80.6,83,40,16.11,MU,1615695554
Grootfontein,-19.5667,18.1167,64.4,94,14,5.75,NA,1615695845
Adrar,20.5022,-10.0711,64.44,25,0,8.12,MR,1615695845
Saint George,37.1041,-113.5841,48.99,66,90,3.44,US,1615695662
Thinadhoo,0.5333,72.9333,83.71,71,51,7.94,MV,1615695847
Chui,-33.6971,-53.4616,60.53,80,0,4.9,UY,1615695847
Port Moresby,-9.4431,147.1797,84.2,74,40,11.5,PG,1615695848
Souris,49.6172,-100.2612,30.2,86,1,6.91,CA,1615695849
Ancud,-41.8697,-73.8203,48.99,87,0,10.36,CL,1615695849
Ayan,56.45,138.1667,28.72,79,100,1.74,RU,1615695849
Kutum,14.2,24.6667,62.15,17,59,5.75,SD,1615695850
Lata,40.1629,-8.3327,51.01,91,0,3.31,PT,1615695850
Clyde River,70.4692,-68.5914,-5.8,77,75,20.71,CA,1615695850
Tasiilaq,65.6145,-37.6368,24.8,80,90,29.93,GL,1615695566
Bambous Virieux,-20.3428,57.7575,80.6,83,40,16.11,MU,1615695572
Iracoubo,5.4802,-53.2011,77.41,89,100,11.86,GF,1615695851
Brae,60.3964,-1.353,41.0,87,90,28.77,GB,1615695852
Evensk,61.95,159.2333,3.51,74,69,2.82,RU,1615695852
Lebu,-37.6167,-73.65,55.72,86,0,4.45,CL,1615695853
Yerbogachën,61.2767,108.0108,6.91,84,93,15.41,RU,1615695853
Non Sang,16.8687,102.5664,90.0,57,0,3.44,TH,1615695853
Zyryanka,65.75,150.85,-4.79,87,48,7.31,RU,1615695854
Laguna,38.421,-121.4238,50.0,71,1,10.36,US,1615695854
Iralaya,15.0,-83.2333,76.57,82,0,8.52,HN,1615695854
Sitka,57.0531,-135.33,32.0,64,75,9.22,US,1615695855
Quiindy,-25.9667,-57.2667,71.83,44,1,4.18,PY,1615695855
Sokoni,-6.4333,39.55,77.0,88,20,0.78,TZ,1615695855
Magdalena,14.1999,121.429,88.0,70,75,4.61,PH,1615695856
Angoche,-16.2325,39.9086,75.94,92,100,6.96,MZ,1615695856
Khatanga,71.9667,102.5,-16.42,89,91,14.92,RU,1615695857
Atar,20.5169,-13.0499,63.73,13,0,6.6,MR,1615695857
Kasamwa,-2.85,32.4333,60.28,80,74,3.4,TZ,1615695857
Province of Mantua,45.1667,10.7833,41.0,93,0,3.44,IT,1615695858
Faanui,-16.4833,-151.75,83.12,73,0,12.28,PF,1615695859
Bredasdorp,-34.5322,20.0403,64.4,82,97,3.44,ZA,1615695867
Havøysund,70.9963,24.6622,26.6,86,90,3.44,NO,1615695868
Arrondissement de Parthenay,46.6667,-0.4167,37.99,88,15,3.0,FR,1615695868
Mackay,-21.15,149.2,86.0,62,11,13.8,AU,1615695869
Iskateley,67.6803,53.1512,2.41,96,91,7.4,RU,1615695682
Kibala,9.1104,18.3463,84.2,51,0,13.8,TD,1615695870
Port Blair,11.6667,92.75,86.0,74,20,6.91,IN,1615695870
Port Macquarie,-31.4333,152.9167,79.0,100,75,12.66,AU,1615695718
Zeya,53.75,127.2667,31.87,93,100,10.13,RU,1615695871
Deyang,31.1302,104.382,72.0,68,97,7.45,CN,1615695827
Kruisfontein,-34.0033,24.7314,66.99,84,90,1.99,ZA,1615695871
Tautira,-17.7333,-149.15,87.01,66,40,3.44,PF,1615695872
Coquimbo,-29.9533,-71.3436,59.0,88,20,2.3,CL,1615695872
East London,-33.0153,27.9116,71.6,78,20,5.75,ZA,1615695872
Souillac,-20.5167,57.5167,80.6,83,40,16.11,MU,1615695873
Tommot,58.9564,126.2925,22.66,74,100,3.65,RU,1615695873
Ntchisi,-13.5278,33.9149,64.4,100,75,2.3,MW,1615695873
Cabo San Lucas,22.8909,-109.9124,64.4,55,1,4.61,MX,1615695600
Saint Paul Harbor,57.79,-152.4072,30.2,31,1,10.36,US,1615695874
Caconda,-13.7333,15.0667,59.54,94,100,0.45,AO,1615695874
Tangermünde,52.5446,11.9765,41.0,79,100,4.0,DE,1615695874
Pyshchug,58.8873,45.7134,15.82,93,100,10.2,RU,1615695875
Vallenar,-28.5708,-70.7581,61.16,80,0,1.68,CL,1615695875
Husavik,66.0449,-17.3389,21.2,86,40,3.44,IS,1615695875
Qaqortoq,60.7167,-46.0333,26.6,63,75,2.3,GL,1615695876
Cherskiy,68.75,161.3,-3.35,94,100,12.08,RU,1615695876
Nanortalik,60.1432,-45.2371,27.3,74,100,6.91,GL,1615695876
Slave Lake,55.2834,-114.769,41.0,56,75,10.36,CA,1615695877
Mariehamn,60.0973,19.9348,32.0,100,75,4.61,AX,1615695877
Jumla,29.2747,82.1838,57.79,28,21,3.67,NP,1615695877
Sosnogorsk,63.6023,53.8817,18.34,88,100,11.03,RU,1615695878
Shizunai-furukawachō,42.3339,142.3669,44.51,81,100,12.73,JP,1615695878
Boddam,57.4667,-1.7833,39.2,75,75,14.97,GB,1615695878
Beringovskiy,63.05,179.3167,25.9,93,33,6.8,RU,1615695879
Paamiut,61.994,-49.6678,18.63,52,100,6.02,GL,1615695879
Cuamba,-14.8031,36.5372,68.7,99,100,1.63,MZ,1615695879
Bethel,41.3712,-73.414,37.4,32,1,8.05,US,1615695722
Mersing,2.4312,103.8405,86.0,79,40,10.36,MY,1615695880
Nuuk,64.1835,-51.7216,15.8,73,75,13.8,GL,1615695880
Dubna,56.7333,37.1667,31.69,92,100,8.7,RU,1615695880
Nagutskoye,44.4415,42.8762,23.0,93,90,15.66,RU,1615695881
Lorengau,-2.0226,147.2712,84.54,66,68,2.13,PG,1615695881
Brus Laguna,15.75,-84.4833,70.56,92,8,1.23,HN,1615695881
Olafsvik,64.8945,-23.7142,28.94,74,100,13.87,IS,1615695882
Arraial do Cabo,-22.9661,-42.0278,75.97,87,100,14.09,BR,1615695666
Humaitá,-7.5061,-63.0208,74.34,95,100,2.28,BR,1615695882
Guerrero Negro,27.9769,-114.0611,56.62,73,0,14.79,MX,1615695616
Sayyan,15.1718,44.3244,57.18,17,50,2.82,YE,1615695883
Chumikan,54.7183,135.315,38.71,81,100,15.3,RU,1615695883
Kavieng,-2.5744,150.7967,84.6,61,57,3.13,PG,1615695884
Longyearbyen,78.2186,15.6401,3.2,60,40,10.36,SJ,1615695884
Jinzhou,41.1078,121.1417,51.71,51,98,15.57,CN,1615695885
Saurimo,-9.6608,20.3916,65.03,91,99,2.84,AO,1615695885
Henties Bay,-22.116,14.2845,63.0,95,26,1.01,NA,1615695886
Buala,-8.145,159.5921,82.63,73,74,3.96,SB,1615695599
Salta,-24.7859,-65.4117,66.2,88,75,2.3,AR,1615695887
Sinnamary,5.3833,-52.95,76.98,89,100,12.5,GF,1615695889
Kjøpsvik,68.097,16.3742,36.0,93,90,3.44,NO,1615695890
Mayo,38.8876,-76.5119,43.0,52,1,3.44,US,1615695890
Phan Thiet,10.9333,108.1,87.98,44,53,6.96,VN,1615695891
Sungai Penuh,-2.0833,101.3833,78.82,64,96,2.53,ID,1615695891
Batticaloa,7.7102,81.6924,82.35,75,43,10.63,LK,1615695891
Vershino-Darasunskiy,52.35,115.5167,36.41,70,81,10.67,RU,1615695892
Turukhansk,65.8167,87.9833,-18.85,90,100,17.36,RU,1615695645
Cockburn Town,21.4612,-71.1419,75.51,75,0,21.32,TC,1615695725
Novoagansk,61.9449,76.6625,11.82,93,99,13.69,RU,1615695892
Labytnangi,66.6572,66.4183,6.89,86,98,6.82,RU,1615695892
Esim,4.8699,-2.2405,79.39,85,97,8.52,GH,1615695893
Aginskoye,51.1,114.53,44.19,64,99,9.73,RU,1615695893
Dingle,10.9995,122.6711,83.66,75,69,2.46,PH,1615695894
Wapi Pathum,15.8452,103.3768,90.0,48,0,8.05,TH,1615695894
Mīzan Teferī,6.9833,35.5833,63.37,80,55,2.89,ET,1615695894
Alyangula,-13.8483,136.4192,87.8,66,75,10.36,AU,1615695895
Durango,24.8333,-104.8333,53.1,37,59,9.01,MX,1615695717
Barra Velha,-26.6322,-48.6847,78.8,89,40,13.8,BR,1615695895
Salalah,17.0151,54.0924,71.6,53,0,2.3,OM,1615695622
Erice,38.037,12.5865,57.0,100,0,4.61,IT,1615695895
Fairbanks,64.8378,-147.7164,6.01,65,1,4.21,US,1615695896
Ipiaú,-14.1372,-39.7339,66.51,98,17,0.87,BR,1615695865
Buritis,-15.6178,-46.4233,69.8,90,94,1.01,BR,1615695896
Maxixe,-23.8597,35.3472,72.88,84,17,6.2,MZ,1615695896
Izumo,35.3667,132.7667,57.2,62,40,11.5,JP,1615695897
Port Lincoln,-34.7333,135.8667,62.37,48,96,10.65,AU,1615695897
Tallahassee,30.4383,-84.2807,64.99,82,75,3.18,US,1615695797
Sergeevka,53.88,67.4158,1.99,95,12,7.4,KZ,1615695898
Kuytun,54.3419,101.5036,7.97,78,100,18.61,RU,1615695898
Tegul'det,57.3064,88.1667,2.39,91,100,11.79,RU,1615695898
Hualmay,-11.0964,-77.6139,72.12,76,46,3.8,PE,1615695899
Ugoofaaru,5.6667,73.0,83.41,75,45,16.49,MV,1615695839
Papetoai,-17.4961,-149.8729,87.01,66,40,3.44,PF,1615695899
Maceió,-9.6658,-35.7353,73.4,94,0,3.44,BR,1615695888
Marsá Maţrūḩ,31.3525,27.2453,53.6,76,75,3.44,EG,1615695900
Tiksi,71.6872,128.8694,2.35,85,87,7.47,RU,1615695900
Fort Morgan,40.2503,-103.8,32.0,100,90,4.61,US,1615695685
Saint-Augustin,51.226,-58.6502,15.98,79,100,18.61,CA,1615695900
Kudat,6.8837,116.8477,86.0,70,20,12.66,MY,1615695901
Port Elizabeth,-33.918,25.5701,68.0,83,0,10.36,ZA,1615695901
Kushima,31.4583,131.2333,64.4,39,20,17.27,JP,1615695904
Singkang,2.1006,102.7994,87.8,62,20,9.22,MY,1615695904
Isangel,-19.55,169.2667,82.4,83,90,9.22,VU,1615695629
Kumul,42.8,93.45,60.51,21,46,13.49,CN,1615695909
Fuling,29.7022,107.3919,76.39,53,53,3.83,CN,1615695909
Garoowe,8.4054,48.4845,71.76,75,100,9.35,SO,1615695909
Kaitangata,-46.2817,169.8464,66.99,61,8,5.01,NZ,1615695630
Olavarría,-36.8927,-60.3225,64.87,62,26,7.34,AR,1615695910
Kasempa,-13.4584,25.8338,61.27,98,52,4.76,ZM,1615695912
Ābyek,36.0667,50.55,32.0,74,21,2.3,IR,1615695913
Laguna de Perlas,12.3429,-83.6712,75.15,87,2,7.54,NI,1615695913
Río Bueno,-40.3167,-72.9667,46.4,93,0,2.46,CL,1615695914
Christchurch,-43.5333,172.6333,69.8,56,0,13.8,NZ,1615695807
Prainha,-1.8,-53.48,72.23,96,100,1.34,BR,1615695917
Aketi,2.7388,23.7833,71.29,99,100,2.37,CD,1615695918
Manokwari,-0.8667,134.0833,83.19,69,99,5.68,ID,1615695920
Havelock,34.8791,-76.9013,52.0,62,90,3.44,US,1615695920
Stromness,58.965,-3.296,41.0,81,75,21.85,GB,1615695921
Imeni Poliny Osipenko,52.4201,136.4853,33.19,96,94,16.49,RU,1615695921
Riyadh,24.6877,46.7219,60.8,23,100,4.61,SA,1615695921
Simao,22.7886,100.9748,80.83,20,0,7.49,CN,1615695922
Zhigansk,66.7697,123.3711,7.88,89,92,11.83,RU,1615695922
Saint-Pierre,-21.3393,55.4781,80.6,78,90,16.11,RE,1615695923
Rawson,-43.3002,-65.1023,61.07,62,77,18.61,AR,1615695633
Esperance,-33.8667,121.9,69.8,40,75,10.36,AU,1615695923
Nchelenge,-9.3451,28.734,66.16,90,87,6.35,ZM,1615695924
Barong,18.0576,120.734,89.6,48,40,11.5,PH,1615695924
Waingapu,-9.6567,120.2641,85.12,73,23,4.74,ID,1615695924
Grand Gaube,-20.0064,57.6608,78.01,91,100,1.99,MU,1615695925
Mitú,1.1983,-70.1733,71.83,96,100,2.04,CO,1615695925
Tual,-5.6667,132.75,83.55,71,59,8.9,ID,1615695925
Ostrovnoy,68.0531,39.5131,14.41,92,98,10.65,RU,1615695926
Kjøllefjord,70.9457,27.3465,21.79,84,100,5.7,NO,1615695926
Locri,38.2414,16.2623,57.2,77,20,11.5,IT,1615695926
Noumea,-22.2763,166.4572,87.8,48,75,8.05,NC,1615695650
Shelburne,44.0787,-80.2041,39.0,74,2,17.69,CA,1615695927
Bend,44.0582,-121.3153,45.0,36,1,3.44,US,1615695927
Castro,-24.7911,-50.0119,62.65,93,15,3.29,BR,1615695927
Hobyo,5.3505,48.5268,80.53,79,84,16.46,SO,1615695928
Pisco,-13.7,-76.2167,72.0,88,20,3.44,PE,1615695928
Coronel Fabriciano,-19.5186,-42.6289,66.2,100,0,2.3,BR,1615695928
Tornio,65.8481,24.1466,23.0,100,90,2.3,FI,1615695929
Mount Isa,-20.7333,139.5,91.4,40,90,6.91,AU,1615695929
Meadow Lake,34.8014,-106.5436,37.4,41,75,17.27,US,1615695929
Pundaguitan,6.3711,126.1689,82.65,73,0,7.47,PH,1615695930
Prievidza,48.7745,18.6275,43.0,100,100,2.13,SK,1615695930
Athabasca,54.7169,-113.2854,41.0,60,93,9.22,CA,1615695930
Oktyabr'skiy,54.4815,53.471,2.3,88,68,8.95,RU,1615695930
Taiyuan,37.8694,112.5603,51.8,62,20,2.24,CN,1615695931
Salamanca,40.8333,-6.0,37.0,93,0,4.61,ES,1615695931
Khovd,48.0056,91.6419,16.66,25,69,13.35,MN,1615695804
Conceição da Barra,-18.5933,-39.7322,73.44,91,10,2.89,BR,1615695932
Karlskrona,56.1616,15.5866,32.0,100,90,9.22,SE,1615695932
Egvekinot,66.3167,-179.1667,20.28,94,100,13.42,RU,1615695932
Recodo,6.9519,121.9636,86.0,74,75,10.36,PH,1615695932
Lodja,-3.4833,23.4333,69.96,97,100,1.43,CD,1615695933
Boca do Acre,-8.7522,-67.3978,72.97,95,83,1.16,BR,1615695933
West Bay,19.3667,-81.4167,79.0,78,0,8.05,KY,1615695933
Kailua,21.4022,-157.7394,71.6,83,90,11.5,US,1615695684
Sorong,-0.8833,131.25,81.75,79,100,14.61,ID,1615695724
Asău,46.4333,26.4,33.01,67,33,5.37,RO,1615695934
Dongsheng,39.8161,109.9776,50.86,68,100,17.31,CN,1615695732
Lampang,18.3333,99.5,97.0,46,2,5.75,TH,1615695934
Cidreira,-30.1811,-50.2056,73.67,87,6,10.31,BR,1615695935
Katherine,-14.4667,132.2667,91.4,49,40,9.22,AU,1615695935
Coyhaique,-45.5752,-72.0662,51.8,82,0,6.91,CL,1615695936
Ji’an,27.1172,114.9793,68.45,68,0,3.6,CN,1615695936
Bījār,35.8668,47.6051,32.9,73,14,2.04,IR,1615695936
Mogadishu,2.0371,45.3438,80.6,74,75,12.66,SO,1615695937
Tosno,59.54,30.8775,35.6,87,75,6.71,RU,1615695937
Poso,-1.3959,120.7524,91.0,58,1,5.82,ID,1615695937
Pochutla,15.7432,-96.4661,79.0,64,0,3.51,MX,1615695937
Tocopilla,-22.092,-70.1979,68.67,81,5,5.5,CL,1615695692
Krasnoural'sk,58.3638,60.0407,10.9,83,85,12.57,RU,1615695938
Aldan,58.6031,125.3894,17.78,63,99,1.21,RU,1615695938
Acapulco de Juárez,16.8634,-99.8901,78.8,83,20,3.44,MX,1615695856
Shimoda,34.6667,138.95,64.4,45,20,8.05,JP,1615695939
Miraflores,19.2167,-98.8083,71.6,23,40,4.61,MX,1615695939
Jipijapa,-1.3333,-80.5833,78.8,83,75,2.3,EC,1615695939
Lichuan,30.3,108.85,60.26,72,81,4.85,CN,1615695940
Kaithal,29.8,76.3833,81.05,19,0,8.93,IN,1615695746
Buarcos,40.166,-8.8768,51.01,100,0,1.14,PT,1615695940
Ust-Nera,64.5667,143.2,-9.31,89,61,4.59,RU,1615695941
Conway,35.0887,-92.4421,54.0,97,100,8.93,US,1615695826
Cap Malheureux,-19.9842,57.6142,78.01,90,100,13.89,MU,1615695654
Zaozyornoye,45.1582,33.2787,41.0,57,92,8.03,UA,1615695941
Karakol,42.4907,78.3936,46.36,46,55,8.12,KG,1615695941
Garden City,42.3256,-83.331,46.0,36,1,10.36,US,1615695942
Mudgee,-32.5943,149.5871,69.8,88,90,3.44,AU,1615695942
Te Anau,-45.4167,167.7167,64.89,55,77,11.01,NZ,1615695942
Taoudenni,22.6783,-3.9836,66.0,46,73,9.46,ML,1615695943
Talara,-4.5772,-81.2719,77.11,77,98,8.7,PE,1615695943
Litovko,49.2361,135.1742,34.02,94,17,4.94,RU,1615695943
Elizabeth City,36.2946,-76.2511,46.99,81,1,4.61,US,1615695944
Kangaba,11.9333,-8.4167,70.83,19,100,5.48,ML,1615695944
Phang Nga,8.4509,98.5298,93.0,51,20,10.36,TH,1615695945
Avera,33.194,-82.5271,62.6,72,1,5.75,US,1615695945
Progreso,21.2833,-89.6667,77.0,65,1,9.22,MX,1615695945
Kalāleh,37.3807,55.4916,30.2,74,0,3.98,IR,1615695802
Elk River,45.3038,-93.5672,42.01,74,75,6.6,US,1615695943
Bambanglipuro,-7.95,110.2833,86.72,60,70,7.34,ID,1615695790
Río Gallegos,-51.6226,-69.2181,44.6,57,0,1.14,AR,1615695946
Ciudad Bolivar,8.1222,-63.5497,77.56,77,98,11.95,VE,1615695946
Port Hardy,50.6996,-127.4199,44.6,87,90,21.85,CA,1615695947
Deputatsky,69.3,139.9,-15.77,82,0,2.84,RU,1615695947
Port-Cartier,50.0334,-66.8654,12.99,48,40,8.05,CA,1615695947
Del Rio,29.3627,-100.8968,77.0,65,40,18.41,US,1615695948
Yangi Marg`ilon,40.4272,71.7189,41.0,56,75,16.11,UZ,1615695948
Fort Smith,35.3859,-94.3986,61.0,88,75,11.5,US,1615695756
Pevek,69.7008,170.3133,-2.76,95,99,5.1,RU,1615695781
Las Vegas,36.175,-115.1372,53.6,30,1,3.44,US,1615695882
Balakirevo,56.5059,38.8432,25.32,95,100,11.32,RU,1615695673
Kumluca,36.3703,30.2869,55.47,82,57,3.91,TR,1615695949
Sur,22.5667,59.5289,85.44,26,0,11.43,OM,1615695949
Laela,-8.5667,32.05,57.06,93,51,2.84,TZ,1615695950
Freeport,40.6576,-73.5832,44.01,38,1,8.05,US,1615695820
Roald,62.5833,6.1333,41.0,70,90,4.61,NO,1615695950
Makīnsk,52.6292,70.4169,2.03,95,15,5.99,KZ,1615695918
Kananga,-5.8958,22.4178,68.32,95,81,3.06,CD,1615695950
Sooke,48.3746,-123.7276,46.4,73,100,6.91,CA,1615695951
Moscow,55.7522,37.6156,30.2,93,90,11.18,RU,1615695833
Byron Bay,-28.65,153.6167,87.01,70,3,11.5,AU,1615695951
